location,total_jobs,unique_companies,top_skills,percentage
Hybrid,937,1,,24.69
In-Office,144,1,,3.79
"Bengaluru, India",140,2,spark; databricks; excel,3.69
"San Francisco, California",132,1,spark; databricks; excel,3.48
Distributed,124,1,,3.27
Singapore,110,3,spark; databricks; excel,2.9
"Mountain View, California",108,1,spark; databricks; excel,2.85
Dublin,94,1,,2.48
United States,88,2,spark; databricks; excel,2.32
Bengaluru,84,1,,2.21
"London, United Kingdom",70,1,spark; databricks; excel,1.84
"Amsterdam, Netherlands",62,1,spark; databricks; excel,1.63
"Seattle, Washington",50,1,spark; databricks; excel,1.32
Mexico City,46,2,spark; databricks; machine learning,1.21
"Tokyo, Japan",42,2,spark; databricks; excel,1.11
"Mountain View, California; San Francisco, California",38,1,spark; databricks; excel,1.0
"Paris, France",34,1,spark; databricks; excel,0.9
Chicago,34,1,,0.9
"Bellevue, Washington",32,1,spark; databricks; excel,0.84
"Sydney, Australia",30,2,spark; databricks; excel,0.79
"Sao Paulo, Brazil",30,2,spark; databricks; excel,0.79
US,28,1,,0.74
"Munich, Germany",26,1,spark; databricks; excel,0.69
"Berlin, Germany",26,1,spark; databricks; excel,0.69
"Belgrade, Serbia",26,1,spark; databricks; excel,0.69
London,26,1,,0.69
N/A,24,1,,0.63
Toronto,22,1,,0.58
"Seoul, South Korea",20,1,spark; databricks; excel,0.53
Bangalore,20,1,,0.53
Northeast - United States,18,1,spark; databricks; excel,0.47
San Francisco or New York,18,1,,0.47
LOCATION,18,1,,0.47
Hybrid; In-Office,16,1,,0.42
Mexico,16,2,spark; databricks; excel,0.42
Dublin ,16,1,,0.42
US-Remote,16,1,,0.42
"New York City, New York",14,1,spark; databricks; excel,0.37
"Chicago, Illinois",14,2,spark; databricks; excel,0.37
"Vancouver, Canada",14,1,spark; databricks; excel,0.37
SF,14,1,,0.37
Canada,14,1,,0.37
"San Francisco, Seattle",14,1,,0.37
"Melbourne, Australia",12,1,spark; databricks; excel,0.32
"Zürich, Switzerland",12,1,spark; databricks; excel,0.32
New York,12,2,spark; databricks; excel,0.32
"Toronto, Canada",12,2,spark; databricks; excel,0.32
"Aarhus, Denmark",12,1,spark; databricks; excel,0.32
"Dublin, London",12,1,,0.32
"Dublin, Ireland",12,1,,0.32
