skill,total_jobs,companies,locations,percentage
spark,1368,1,114,36.05
databricks,1368,1,114,36.05
excel,1368,1,114,36.05
leadership,826,1,78,21.77
machine learning,436,1,47,11.49
python,436,1,65,11.49
communication,392,1,49,10.33
scala,386,1,62,10.17
aws,374,1,49,9.86
azure,370,1,49,9.75
sql,340,1,46,8.96
gcp,332,1,48,8.75
java,328,1,50,8.64
go,266,1,53,7.01
prometheus,258,1,28,6.8
kubernetes,128,1,16,3.37
hadoop,84,1,22,2.21
jenkins,80,1,19,2.11
etl,76,1,10,2.0
kafka,70,1,18,1.84
pandas,62,1,18,1.63
docker,62,1,12,1.63
pytorch,56,1,16,1.48
javascript,56,1,17,1.48
react,42,1,9,1.11
scikit-learn,40,1,14,1.05
apache airflow,38,1,6,1.0
linux,36,1,8,0.95
git,32,1,5,0.84
terraform,26,1,7,0.69
rust,26,1,4,0.69
vue,26,1,7,0.69
angular,26,1,7,0.69
tensorflow,24,1,7,0.63
mongodb,24,1,9,0.63
grafana,22,1,8,0.58
rest api,20,1,7,0.53
elasticsearch,18,1,5,0.47
redis,16,1,4,0.42
snowflake,14,1,6,0.37
spark sql,12,1,3,0.32
dbt,12,1,5,0.32
tableau,8,1,3,0.21
hive,4,1,2,0.11
graphql,4,1,1,0.11
looker,4,1,1,0.11
presto,2,1,1,0.05
